file,original_size,RLE_size,RLE_ratio,RLE_time,RLE_ok,LZW_size,LZW_ratio,LZW_time,LZW_ok,Huffman_size,Huffman_ratio,Huffman_time,Huffman_ok,best_by_size,best_by_ratio
alice_in_wonderland.txt,174350,341172,0.5110325583576613,0.1287064552307129,True,79679,2.1881549718244457,0.15668082237243652,True,104442,1.6693475804752878,0.09439373016357422,True,LZW,LZW
Bumps and His Buddies.txt,76295,148370,0.5142212037473883,0.04933571815490723,True,41197,1.8519552394591838,0.0408327579498291,True,44818,1.7023294212146904,0.025569438934326172,True,LZW,LZW
class.py,552,956,0.5774058577405857,0.0012884140014648438,True,613,0.9004893964110929,0.0005221366882324219,True,325,1.6984615384615385,0.0003986358642578125,True,Huffman,Huffman
classtest2.3.py,1389,2516,0.5520667726550079,0.0006685256958007812,True,1247,1.1138732959101845,0.0009641647338867188,True,820,1.6939024390243902,0.0009815692901611328,True,Huffman,Huffman
combined_data.csv,303487028,582442422,0.5210592781993479,156.08922123908997,True,148002817,2.050548997320774,247.34779381752014,True,139673087,2.172838264826208,3688.1870794296265,False,LZW,LZW
c_cpp_properties.json,339,528,0.6420454545454546,0.007683277130126953,True,407,0.8329238329238329,0.0034608840942382812,True,186,1.8225806451612903,0.0024030208587646484,False,LZW,LZW
EEG_DATA.csv,151743556,291224492,0.521053552048088,80.35199975967407,True,78020477,1.9449196138598333,108.23085236549377,True,69837198,2.172818502827104,44.03395175933838,False,LZW,LZW
email_text.txt,436,854,0.5105386416861827,0.010507583618164062,True,611,0.7135842880523732,0.0029981136322021484,True,259,1.6833976833976834,0.002677440643310547,False,LZW,LZW
launch.json,609,978,0.6226993865030674,0.001500844955444336,True,677,0.8995568685376661,0.0007874965667724609,True,342,1.780701754385965,0.0003936290740966797,True,Huffman,Huffman
Rectangle.py,1643,3040,0.5404605263157894,0.0012362003326416016,True,1551,1.059316569954868,0.0015118122100830078,True,1077,1.5255338904363973,0.0009589195251464844,False,LZW,LZW
sensor_data.txt,723,1360,0.5316176470588235,0.0003521442413330078,True,493,1.4665314401622718,0.00044345855712890625,True,353,2.048158640226629,0.0010085105895996094,False,LZW,LZW
sherlock_holmes.txt,719665,1309362,0.549630277952163,0.3426656723022461,True,384151,1.8733909322115523,0.3101651668548584,True,399951,1.79938292440824,0.22364473342895508,True,LZW,LZW
system_log1.log,996,1862,0.5349087003222341,0.0005853176116943359,True,891,1.1178451178451179,0.0010449886322021484,True,631,1.578446909667195,0.0006096363067626953,True,Huffman,Huffman
system_log2.log,1004,1888,0.5317796610169492,0.0005536079406738281,True,913,1.099671412924425,0.0006597042083740234,True,648,1.5493827160493827,0.0010004043579101562,True,Huffman,Huffman
